Mode,Product,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Cote d'Ivoire,Djibouti,DRC,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Republic of Congo,Rwanda,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Uganda,Zambia,Zimbabwe
Coal,Other bituminous coal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.15,0,0,0.89,0,0,0,0,0,0.11,0.52
Coal,Lignite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Peat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
Gas,Natural gas,0.11,0.6,0,0,0,0.26,0,0.67,0.66,0,0,0.57,0,0,0.49,0,0.42,0.4,0,0,0,0,0,0,0,0,0.2,0,0.08,0.78,0.72,0.22,0.01,0.26,0,0,0,0,0.58,0.64,0,0,0
Oil,Crude oil,0,0,0,0,0.31,0,0.04,0.3,0,1,0,0,0,0,0,1,0.04,0,1,0,0,0.49,0.36,0.23,0.36,0.83,0,0,0,0,0,0,0,0,1,0,0,0.17,0,0,0,0,0
Gas,Liquefied petroleum gases (LPG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil,Motor gasoline excl. biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
Oil,Other kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil,Gas/diesel oil excl. biofuels,0,0.18,0,0.12,0,0.09,0,0,0,0,0,0.09,0,0,0.07,0,0,0,0,0.07,0,0,0,0,0,0,0,0.01,0,0,0.04,0.26,0.07,0,0,0,0.98,0,0,0.02,0,0,0.01
Oil,Fuel oil,0,0.21,0,0.75,0,0.03,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.04,0,0,0,0,0,0,0.01,0,0,0,0.01,0.11,0.68,0,0,0,0,0,0,0.01,0.02,0.04,0
Oil,Other oil products,0.19,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0
Biofuels,Primary solid biofuels,0,0,0,0.03,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0.02,0.01,0,0,0,0,0.01,0,0.02,0,0.02
Biofuels,Biogases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
Hydro,Hydro,0.7,0,0,0.08,0.69,0.62,0.96,0,0.33,0,0.99,0.34,0,0.96,0.43,0,0.42,0.6,0,0.3,1,0.51,0.45,0.74,0.64,0,0.79,0.91,0,0.21,0.23,0.36,0,0.72,0,0,0,0.6,0.4,0.33,0.92,0.84,0.45
Geothermal,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV,Solar photovoltaics,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0,0.08,0,0.04,0.04,0,0,0.02,0.06,0,0,0.01,0.01,0,0,0,0.04,0.01,0
PV,Solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
Wind,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.11,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
Geothermal,Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0